date,stock,operation
2020-11-30,CSTL,Buy
2020-11-30,EXAS,Buy
2020-11-30,GOOGL,Buy
2020-11-30,RHHBY,Buy
2020-11-30,ARCT,Sell
2020-11-30,CDNA,Sell
2020-11-30,SYRS,Sell
2020-11-30,SHOP,Buy
2020-11-30,BEKE,Buy
2020-11-30,DOYU,Sell
2020-11-30,TSLA,Sell
2020-11-30,TSM,Buy
2020-11-30,TRMB,Buy
2020-11-30,RAVN,Buy
2020-11-30,NXPI,Buy
2020-11-30,JD,Buy
2020-11-30,FLIR,Buy
2020-11-30,SPLK,Sell
2020-11-30,TSLA,Sell
2020-11-30,XLNX,Sell
2020-11-30,PYPL,Buy
2020-11-30,NFLX,Buy
2020-11-30,JD,Buy
2020-11-30,FB,Buy
2020-11-30,BEKE,Buy
2020-11-30,API,Buy
2020-11-30,GBTC,Sell
2020-11-30,WORK,Sell
2020-12-01,CSTL,Buy
2020-12-01,EXAS,Buy
2020-12-01,RHHBY,Buy
2020-12-01,CDNA,Sell
2020-12-01,SYRS,Sell
2020-12-01,ZM,Buy
2020-12-01,DOCU,Buy
2020-12-01,BEKE,Buy
2020-12-01,NSTG,Sell
2020-12-01,XONE,Sell
2020-12-01,RAVN,Buy
2020-12-01,TRMB,Buy
2020-12-01,TSLA,Sell
2020-12-01,SHOP,Buy
2020-12-01,DOCU,Buy
2020-12-01,API,Buy
2020-12-01,ZM,Buy
2020-12-01,TSLA,Sell
2020-12-01,WORK,Sell
2020-12-02,CSTL,Buy
2020-12-02,LGVW,Buy
2020-12-02,RHHBY,Buy
2020-12-02,CDNA,Sell
2020-12-02,SHOP,Buy
2020-12-02,TCEHY,Buy
2020-12-02,TDOC,Buy
2020-12-02,TSM,Buy
2020-12-02,TWLO,Buy
2020-12-02,PYPL,Buy
2020-12-02,BEKE,Buy
2020-12-02,ICE,Buy
2020-12-02,EXAS,Buy
2020-12-02,DOCU,Buy
2020-12-02,XONE,Sell
2020-12-02,WORK,Sell
2020-12-02,NSTG,Sell
2020-12-02,DOYU,Sell
2020-12-02,RAVN,Buy
2020-12-02,WKHS,Buy
2020-12-02,API,Buy
2020-12-03,SPLK,Buy
2020-12-03,WORK,Sell
2020-12-03,CSTL,Buy
2020-12-03,TWLO,Buy
2020-12-03,TSM,Buy
2020-12-03,TDOC,Buy
2020-12-03,SPLK,Buy
2020-12-03,SHOP,Buy
2020-12-03,ICE,Buy
2020-12-03,EXAS,Buy
2020-12-03,DOCU,Buy
2020-12-03,BEKE,Buy
2020-12-03,NSTG,Sell
2020-12-03,XONE,Sell
2020-12-03,WORK,Sell
2020-12-03,DOYU,Sell
2020-12-03,SPLK,Buy
2020-12-03,TSLA,Sell
2020-12-03,SPLK,Buy
2020-12-03,TSLA,Sell
2020-12-04,CSTL,Buy
2020-12-04,SYRS,Sell
2020-12-04,BEKE,Buy
2020-12-04,EXAS,Buy
2020-12-04,SE,Buy
2020-12-04,DOYU,Sell
2020-12-04,NSTG,Sell
2020-12-04,WORK,Sell
2020-12-04,XONE,Sell
2020-12-07,RHHBY,Buy
2020-12-07,VRTX,Buy
2020-12-07,CSTL,Buy
2020-12-07,TAK,Buy
2020-12-07,NVS,Buy
2020-12-07,REGN,Buy
2020-12-07,VCYT,Sell
2020-12-07,SYRS,Sell
2020-12-07,ARCT,Sell
2020-12-07,NTLA,Sell
2020-12-07,FATE,Sell
2020-12-07,CRSP,Sell
2020-12-07,EXAS,Buy
2020-12-07,XONE,Sell
2020-12-07,NSTG,Sell
2020-12-07,DOYU,Sell
2020-12-07,DE,Buy
2020-12-07,RAVN,Buy
2020-12-07,MTLS,Sell
2020-12-07,CRM,Buy
2020-12-07,DOCU,Buy
2020-12-07,PTON,Buy
2020-12-07,TDOC,Buy
2020-12-07,WORK,Sell
2020-12-08,CSTL,Buy
2020-12-08,NVS,Buy
2020-12-08,RHHBY,Buy
2020-12-08,TAK,Buy
2020-12-08,NTLA,Sell
2020-12-08,VCYT,Sell
2020-12-08,BEKE,Buy
2020-12-08,XONE,Sell
2020-12-08,DOYU,Sell
2020-12-08,DE,Buy
2020-12-08,RAVN,Buy
2020-12-08,MTLS,Sell
2020-12-08,CRM,Buy
2020-12-08,PTON,Buy
2020-12-08,WORK,Sell
2020-12-09,DOCU,Buy
2020-12-09,TDOC,Buy
2020-12-09,WORK,Sell
2020-12-09,TDOC,Buy
2020-12-09,TAK,Buy
2020-12-09,RHHBY,Buy
2020-12-09,CSTL,Buy
2020-12-09,NTLA,Sell
2020-12-09,VCYT,Sell
2020-12-09,ZM,Buy
2020-12-09,TDOC,Buy
2020-12-09,BEKE,Buy
2020-12-09,XONE,Sell
2020-12-09,NIU,Buy
2020-12-09,RAVN,Buy
